Season,Crop,Variety,Month,Week 1,Week 2,Week 3,Week 4
Kharif,Paddy,Mahaveer,June,📅 Book Tractor & Labor | 🌦️ Check Weather | 🚜 Land prep & puddling,🌱 Green Manuring | Get small plants ready in trays or bed,Soil testing & compost application,🌱💧 Care for Seedlings
Kharif,Paddy,Mahaveer,July,📅 Book Tractor & Labor | 🌱 Transplant (15-18d) | 🧪 Apply Basal Mixture (Urea+DAP+Potash) + 8 kg/Acre Zinc (for green leaves),🌱💧 Give water after planting,🌱 Gaps/Weeding,💧 Water Saving (Water only if soil is dry)
Kharif,Paddy,Mahaveer,August,🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ). Note: Mahaveer is highly resistant to Gall Midge.",Pull out weeds,💧🌾 Water Saving (Keep soil moist but not flooded) (about ankle deep)
Kharif,Paddy,Mahaveer,September,📅 Book Thresher & Labor | 🧪✂️💧 Remove water before harvest | 🌾 Apply 25% N (Grain forming stage ) | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧 Do not water near harvest time,📅 Book Thresher & Labor | ✂️ Cut and collect the crop,Dry grain to 14% moisture (Air-tight Bags)
Kharif,Paddy,Mahaveer,October,Field resting,Field resting,Field resting,Field resting
Kharif,Paddy,Mahaveer,November,Field resting,Field resting,Field resting,Field resting
Rabi,Groundnut,TMV-2,October,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,💧 Give small amount of water
Rabi,Groundnut,TMV-2,November,"📅 Book Tractor & Labor | 🌱🧪 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum",🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture
Rabi,Groundnut,TMV-2,December,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only,🔎 Scout: Tikka leaf spot and Rust,Pull out weeds again,Critical moisture: ensure moisture for peg penetration
Rabi,Groundnut,TMV-2,January,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only,See if pods are growing well,🧪 Mature pods or seeds forming | Fungicide/insecticide spray | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Get ready to drain water before harvest
