Season,Crop,Variety,Month,Week 1,Week 2,Week 3,Week 4,Week 1 (KN),Week 2 (KN),Week 3 (KN),Week 4 (KN)
Kharif,Paddy,Mahaveer,June,📅 Book Tractor & Labor | 🌦️ Check Weather | 🚜 Land prep & puddling,🌱 Green Manuring | Get small plants ready in trays or bed,Soil testing & compost application,🌱💧 Care for Seedlings,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | 🚜 ಭೂಮಿ ಸಿದ್ಧತೆ ಮತ್ತು ಹದಗೊಳಿಸುವಿಕೆ,🌱 ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | ಸಣ್ಣ ಸಸಿಗಳನ್ನು ಸಿದ್ಧಪಡಿಸಿಕೊಳ್ಳಿ (ಟ್ರೇ ಅಥವಾ ಮಡಿಗಳಲ್ಲಿ),ಮಣ್ಣಿನ ಪರೀಕ್ಷೆ ಮತ್ತು ಕೊಟ್ಟಿಗೆ ಗೊಬ್ಬರ ಬಳಕೆ,🌱💧 ಸಸಿಗಳ ಆರೈಕೆ ಮಾಡಿ
Kharif,Paddy,Mahaveer,July,📅 Book Tractor & Labor | 🌱 Transplant (15-18d) | 🧪 Apply Basal Mixture (Urea+DAP+Potash) + 8 kg/Acre Zinc (for green leaves),🌱💧 Give water after planting,🌱 Gaps/Weeding,💧 Water Saving (Water only if soil is dry),"📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱 15-18 ದಿನಗಳ ಸಸಿಗಳನ್ನು ನಾಟಿ ಮಾಡಿ | 🧪 ನಾಟಿ ಸಮಯದಲ್ಲಿ ಯೂರಿಯಾ, ಡಿಎಪಿ ಮತ್ತು ಪೊಟ್ಯಾಶ್ ಮಿಶ್ರಣವನ್ನು ಹಾಕಿ + 8 kg/Acre Zinc (ಹಸಿರು ಎಲೆಗಳಿಗಾಗಿ)",🌱💧 ನಾಟಿ ಮಾಡಿದ ನಂತರ ನೀರು ಕೊಡಿ,🌱 ಖಾಲಿ ಇರುವ ಜಾಗದಲ್ಲಿ ಗಿಡಗಳನ್ನು ತುಂಬಿ ಮತ್ತು ಕಳೆ ತೆಗೆಯಿರಿ,💧 ನೀರಿನ ಉಳಿತಾಯ (ಮಣ್ಣು ಒಣಗಿದ್ದರೆ ಮಾತ್ರ ನೀರು ಕೊಡಿ)
Kharif,Paddy,Mahaveer,August,🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ). Note: Mahaveer is highly resistant to Gall Midge.",Pull out weeds,💧🌾 Water Saving (Keep soil moist but not flooded) (about ankle deep),🧪 ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಗೊಬ್ಬರವನ್ನು (ಸಸಿ ಒಡೆಯುವ ಹಂತದಲ್ಲಿ) ಹಾಕಿ | ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,"🔎⚠️ ಪರಿಶೀಲಿಸಿ: ಜಿಗಿ ಹುಳು (If you see 5-10 in one hill ), ಕಾಂಡಕೊರಕ (ಮೊಟ್ಟೆಗಳಿಗಾಗಿ ಪರಿಶೀಲಿಸಿ ). Note: Mahaveer is highly ಗಾಲ್ ಮಿಡ್ಜ್ (ಹಿಪ್ಪುಳ) ರೋಗ ನಿರೋಧಕ ಶಕ್ತಿ ಹೊಂದಿದೆ.",ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ,💧🌾 ನೀರಿನ ಉಳಿತಾಯ (ಮಣ್ಣಿನಲ್ಲಿ ತೇವಾಂಶವಿರಲಿ ಆದರೆ ನೀರು ನಿಲ್ಲಿಸಬೇಡಿ) (about ankle deep)
Kharif,Paddy,Mahaveer,September,📅 Book Thresher & Labor | 🧪✂️💧 Remove water before harvest | 🌾 Apply 25% N (Grain forming stage ) | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧 Do not water near harvest time,📅 Book Thresher & Labor | ✂️ Cut and collect the crop,Dry grain to 14% moisture (Air-tight Bags),📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🧪✂️💧 ಕೊಯ್ಲಿಗೆ 10 ದಿನ ಮೊದಲು ನೀರನ್ನು ಹೊರಹಾಕಿ | 🌾 ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಗೊಬ್ಬರವನ್ನು (ಹಾಲು ತುಂಬುವ ಹಂತದಲ್ಲಿ) ಹಾಕಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️💧 ಬೆಳೆ ಕೊಯ್ಲಿಗೆ ಬರುವ ಮೊದಲು ನೀರು ಕೊಡಬೇಡಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ ಬೆಳೆಯನ್ನು ಕೊಯ್ಲು ಮಾಡಿ ಮತ್ತು ಸಂಗ್ರಹಿಸಿ,ಧಾನ್ಯವನ್ನು ಶೇ. 14 ರಷ್ಟು ತೇವಾಂಶ ಬರುವವರೆಗೆ ಒಣಗಿಸಿ (ಗಾಳಿಯಾಡದ ಚೀಲಗಳು)
Kharif,Paddy,Mahaveer,October,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Kharif,Paddy,Mahaveer,November,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Groundnut,TMV-2,October,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,💧 Give small amount of water,🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಭೂಮಿಯನ್ನು ಸಿದ್ಧಪಡಿಸಿ ಮತ್ತು ಮಣ್ಣಿಗೆ ಸುಣ್ಣ ಅಥವಾ ಡೋಲೊಮೈಟ್ ಹಾಕಿ,ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | Soil test & compost | 🧪 ಎಕರೆಗೆ 4 ಕೆಜಿ ಬೊರಾಕ್ಸ್ ಹಾಕಿ (ಕಾಯಿ ತುಂಬುವಿಕೆಗಾಗಿ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,ಬೀಜ ಬಿತ್ತಲು ಮಣ್ಣನ್ನು ಹದ ಮಾಡಿ,💧 ಅಲ್ಪ ಪ್ರಮಾಣದ ನೀರು ಕೊಡಿ
Rabi,Groundnut,TMV-2,November,"📅 Book Tractor & Labor | 🌱🧪 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum",🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱🧪 10x4 ಇಂಚು ಅಂತರದಲ್ಲಿ ಬಿತ್ತನೆ ಮಾಡಿ + ಎಕರೆಗೆ 125 ಕೆಜಿ ಜಿಪ್ಸಮ್ ಪುಡಿಯನ್ನು ಹಾಕಿ (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) + ಬಿತ್ತನೆ ಸಮಯದಲ್ಲಿ 25 ಕೆಜಿ ಯೂರಿಯಾ ಮತ್ತು ಪೂರ್ಣ ಪ್ರಮಾಣದ ಡಿಎಪಿ/ಪೊಟ್ಯಾಶ್ ಹಾಕಿ | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ,🌱💧 ಗಿಡಗಳು ಬೆಳೆಯಲು ಪ್ರಾರಂಭಿಸಿದಾಗ ನೀರು ಕೊಡಿ,ಮೊದಲ ಬಾರಿ ಕಳೆ ತೆಗೆಯಿರಿ,ತೇವಾಂಶವನ್ನು ಗಮನಿಸಿ
Rabi,Groundnut,TMV-2,December,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only,🔎 Scout: Tikka leaf spot and Rust,Pull out weeds again,Critical moisture: ensure moisture for peg penetration,🧪 125 kg/Acre Gypsum powder (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) (ಬಿತ್ತನೆ ಮಾಡಿದ 30 ದಿನಗಳ ನಂತರ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🔎 ಪರಿಶೀಲಿಸಿ: ತಿಕ್ಕಾ ಎಲೆಚುಕ್ಕೆ ಮತ್ತು ತುಕ್ಕು ರೋಗ,ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ again,ನಿರ್ಣಾಯಕ ಹಂತ: ಕಾಯಿಗಳು ಮಣ್ಣಿನಲ್ಲಿ ಇಳಿಯಲು ತೇವಾಂಶವಿರುವಂತೆ ನೋಡಿಕೊಳ್ಳಿ
Rabi,Groundnut,TMV-2,January,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only,See if pods are growing well,🧪 Mature pods or seeds forming | Fungicide/insecticide spray | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Get ready to drain water before harvest,🧪 ಹೂವಾಡುವ ಮತ್ತು ಕಾಯಿ ಕಟ್ಟುವ ಹಂತ | ಗಿಡದ ಬೆಳವಣಿಗೆಗಾಗಿ 10 ಕೆಜಿ ಯೂರಿಯಾ ಹಾಕಿ to maximize pod yield | 💧⚠️ ಈ ಸಮಯದಲ್ಲಿ ಮಣ್ಣು ಒಣಗಲು ಬಿಡಬೇಡಿ - critical for pod formation | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,See if pods are growing well,🧪 ಕಾಯಿಗಳು ಅಥವಾ ಬೀಜಗಳು ಮಾಗುವ ಹಂತ | ಶಿಲೀಂಧ್ರನಾಶಕ ಅಥವಾ ಕೀಟನಾಶಕ ಸಿಂಪಡಿಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️💧🔎 ಕೊಯ್ಲಿಗೆ ಮೊದಲು ಜಮೀನನ್ನು ಪರೀಕ್ಷಿಸಿ | Get ready to drain water before harvest
